title,author,source,publishedAt,url
"Google, Apple restrict real-time map data in Israel and Gaza as conflict escalates",Maxwell William,"{'id': None, 'name': 'ReadWrite'}",2023-10-24T13:46:15Z,https://readwrite.com/google-apple-restrict-real-time-map-data-in-israel-and-gaza-as-conflict-escalates/
10 Gen Z status symbols taking over American high schools,Jennifer Ortakales Dawkins,"{'id': 'business-insider', 'name': 'Business Insider'}",2023-10-11T09:32:01Z,https://www.businessinsider.com/10-teen-status-symbol-brands-of-2023-2023-10
"Google's CEO defends paying Apple, others billions of dollars to make Google their default search engine on devices",Insider Inc.,"{'id': 'business-insider', 'name': 'Business Insider'}",2023-10-30T19:05:35Z,https://www.businessinsider.com/google-ceo-pichai-defends-paying-billions-apple-default-search-engine-2023-10
★ Apple and AI,John Gruber,"{'id': None, 'name': 'Daringfireball.net'}",2023-10-23T22:33:57Z,https://daringfireball.net/2023/10/apple_and_ai
Musicians Are Angry About Venues Taking T-shirt Money,EditorDavid,"{'id': None, 'name': 'Slashdot.org'}",2023-10-14T19:34:00Z,https://entertainment.slashdot.org/story/23/10/14/1649252/musicians-are-angry-about-venues-taking-t-shirt-money
Foxconn gets probed by Chinese authorities,Radek Zielinski,"{'id': None, 'name': 'ReadWrite'}",2023-10-23T18:03:25Z,https://readwrite.com/foxconn-gets-probed-by-chinese-authorities/
"Apple store in California hit with $100,000 grand theft, suspects still at large",news@appleinsider.com (Amber Neely),"{'id': None, 'name': 'AppleInsider'}",2023-10-26T13:46:03Z,https://appleinsider.com/articles/23/10/26/apple-store-in-california-hit-with-100000-grand-theft-suspects-still-at-large
Warren Buffett's Berkshire Hathaway has now cashed in $540 million of HP stock in under a month,Theron Mohamed,"{'id': 'business-insider', 'name': 'Business Insider'}",2023-10-03T10:33:27Z,https://markets.businessinsider.com/news/stocks/warren-buffett-hp-share-sales-berkshire-hathaway-stock-portfolio-tech-pc-10
PC market decline slows in Q3 as recovery signs emerge,Radek Zielinski,"{'id': None, 'name': 'ReadWrite'}",2023-10-10T16:00:35Z,https://readwrite.com/pc-sales-decline/
Apple is still getting patents under Steven Jobs name,Team GreyB,"{'id': None, 'name': 'Greyb.com'}",2023-10-30T05:45:10Z,https://www.greyb.com/blog/new-steve-jobs-patents/
18 Prime Day deals so good that we're not waiting for Black Friday to buy,Sarah Saril,"{'id': 'business-insider', 'name': 'Business Insider'}",2023-10-10T15:21:52Z,https://www.businessinsider.com/guides/deals/prime-day-deals-not-waiting-for-black-friday-cyber-monday-2023-10
: Netflix plans to increase price of ad-free service once the actors strike ends: WSJ,Ciara Linnane,"{'id': None, 'name': 'MarketWatch'}",2023-10-03T14:28:00Z,https://www.marketwatch.com/story/netflix-plans-to-increase-price-of-ad-free-service-once-the-actors-strike-ends-wsj-55aa7050
4th season of 'For All Mankind' moves from Mars to the asteroids (trailer),robert@collectspace.com (Robert Z. Pearlman),"{'id': None, 'name': 'collectSPACE.com'}",2023-10-13T18:30:22Z,http://www.collectspace.com/news/news-101223a-apple-tv-for-all-mankind-fourth-season-trailer.html
Deep Dive: Nine stocks in the Nasdaq-100 have dropped 15% or more during October,Philip van Doorn,"{'id': None, 'name': 'MarketWatch'}",2023-10-26T21:15:00Z,https://www.marketwatch.com/story/nine-stocks-in-the-nasdaq-100-have-dropped-15-or-more-during-october-3112f517
"Apple Arcade gets NBA 2K24, Cut the Rope 3, and more in October",José Adorno,"{'id': None, 'name': 'BGR'}",2023-10-03T13:53:56Z,https://bgr.com/tech/apple-arcade-gets-nba-2k24-cut-the-rope-3-and-more-in-october/
Apple TV app to get major redesign before end of year as Apple looks to consolidate streaming position,john-anthony.disotto@futurenet.com (John-Anthony Disotto),"{'id': None, 'name': 'iMore'}",2023-10-25T09:13:17Z,https://www.imore.com/music-movies-tv/apple-tv/apple-tv-app-to-get-major-redesign-before-end-of-year-as-apple-looks-to-consolidate-streaming-position
